user_idx,recourse,cost,elicitation,length,mixture_class,model_score,seed
0,True,420.8019879458783,0,4,2,0.011666418,2026.0
1,True,424.46271749141204,0,3,2,0.0067553,2026.0
2,True,418.57938761409355,0,3,2,0.0046702027,2026.0
3,True,55.4302453568812,0,3,4,0.0071567283,2026.0
4,True,286.9517467213053,0,4,3,0.01103166,2026.0
5,True,933.3301339924958,0,6,1,0.0006690778,2026.0
6,True,21.393728452579353,0,3,4,0.008582012,2026.0
7,True,334.7857240596609,0,3,3,0.00867202,2026.0
8,True,314.79378613567883,0,4,3,0.010004805,2026.0
9,True,587.3538038208354,0,3,1,0.004873253,2026.0
10,True,285.3651341920505,0,5,5,0.005717034,2026.0
11,True,589.2810265837466,0,3,1,0.011287542,2026.0
12,True,33.71686609595909,0,3,4,0.0075941593,2026.0
13,True,316.6772975947809,0,4,0,0.016154835,2026.0
14,True,426.89797957035734,0,3,2,0.007899395,2026.0
15,True,176.45126092472586,0,3,5,0.016890239,2026.0
16,True,1308.630518050491,0,5,1,0.013482074,2026.0
17,True,184.1271998904395,0,4,0,0.0033275462,2026.0
18,True,589.4805367856706,0,3,1,0.0043179486,2026.0
19,True,417.137037860427,0,3,2,0.0062969043,2026.0
20,True,184.3608891408339,0,3,0,0.00397609,2026.0
21,True,328.3795344441976,0,3,3,0.01110073,2026.0
22,True,5.0,0,5,0,0.015818436,2026.0
23,True,537.8929274525707,0,4,2,0.012783362,2026.0
24,True,147.97402225364806,0,5,5,0.0059897765,2026.0
25,True,588.6386737178584,0,3,1,0.013515342,2026.0
26,True,232.04896099870504,0,4,4,0.012661975,2026.0
27,True,358.37068910683746,0,3,3,0.006766363,2026.0
28,True,775.9537816361067,0,4,2,0.0020622814,2026.0
29,True,246.61724341871064,0,5,5,0.0038908806,2026.0
30,True,367.4424875858384,0,4,0,0.0040410855,2026.0
31,True,421.79996703361485,0,3,2,0.014811895,2026.0
32,True,603.8229803553793,0,3,1,0.0049605314,2026.0
33,True,588.2064110897489,0,3,1,0.012296709,2026.0
34,False,52.42655507876833,0,2,3,0.010382076,2026.0
35,True,668.9543767156989,0,4,1,0.01500824,2026.0
36,True,452.34641624753874,0,4,0,0.016217723,2026.0
37,True,12.387900109384063,0,5,0,0.0154206855,2026.0
38,True,181.03926804219762,0,4,5,0.0066505247,2026.0
39,True,604.2253683503186,0,3,1,0.007936981,2026.0
40,True,145.12678588959471,0,4,4,0.0072428673,2026.0
41,False,589.7096119015698,0,3,1,0.0051366836,2026.0
42,True,170.5826320643818,0,3,5,0.0046846676,2026.0
43,True,175.36708855756663,0,3,5,0.011065808,2026.0
44,True,436.70168986076965,0,4,2,0.007330283,2026.0
45,True,650.1581214271378,0,4,1,0.00931157,2026.0
46,True,328.99682621814276,0,3,3,0.0050617224,2026.0
47,True,1347.747502159354,0,6,1,0.011517548,2026.0
48,True,349.540934065004,0,4,5,0.002149205,2026.0
49,True,374.4415355758417,0,6,4,0.0007754221,2026.0
50,True,336.55182551705605,0,3,3,0.011897402,2026.0
51,True,341.77821646506266,0,3,3,0.005894857,2026.0
52,True,50.82735261309627,0,3,4,0.007899395,2026.0
53,True,593.595080723419,0,3,1,0.014803041,2026.0
54,True,1305.3526487048935,0,5,1,0.0058755237,2026.0
55,True,422.02546391640914,0,3,2,0.00564713,2026.0
56,True,181.78248984909584,0,3,0,0.006016269,2026.0
57,True,167.27831978201297,0,3,5,0.004269489,2026.0
58,True,331.37713810815484,0,3,3,0.0065005147,2026.0
59,True,440.7823940429321,0,3,2,0.011356258,2026.0
60,True,675.173552640595,0,4,3,0.013499127,2026.0
