user_idx,recourse,cost,is_it_valid,length,mixture_class,model_score,seed
0,False,439.0543070402459,1.0,5,4,0.03617482230698669,2032.0
1,True,18.415446515983767,1.0,2,0,0.39046471577256253,2032.0
2,False,0.0,1.0,0,1,0.3926859388526156,2032.0
3,True,57.80856246385402,1.0,2,4,0.4503575484148177,2032.0
4,True,181.10688013498287,1.0,5,3,0.28662235092323046,2032.0
5,False,346.37474091698425,1.0,6,4,0.16513260387918038,2032.0
6,True,88.55632923642574,1.0,2,0,0.44189468848720065,2032.0
7,True,513.9995722451081,1.0,4,5,0.24747257109343584,2032.0
8,False,1.0,1.0,1,0,0.45775763753620724,2032.0
9,False,0.0,1.0,0,2,0.4168400196877257,2032.0
10,True,91.65559095477823,1.0,2,1,0.3926859388526156,2032.0
11,True,571.5768150088844,1.0,6,5,0.10677370558026908,2032.0
12,True,101.34716775874318,1.0,6,3,0.2281023432162038,2032.0
13,True,262.6422927210016,1.0,6,4,0.48006054922358765,2032.0
14,False,1.0,1.0,1,1,0.2571399988776073,2032.0
15,True,23.270113832805418,1.0,2,0,0.4168400196877257,2032.0
16,True,99.72278308314893,1.0,4,1,0.4013371218452282,2032.0
17,True,2.0,1.0,2,1,0.2000421154729696,2032.0
18,True,476.0160389324159,1.0,6,5,0.349878299570009,2032.0
19,True,603.4785202839979,1.0,6,5,0.36839836957593697,2032.0
20,True,255.18800656496558,1.0,4,0,0.020838703126586564,2032.0
21,True,36.72366193025836,1.0,2,3,0.3926859388526156,2032.0
22,True,115.34376997534571,1.0,2,5,0.4168400196877257,2032.0
23,True,240.7192589380512,1.0,5,4,0.41439408802563493,2032.0
24,True,122.17492726482145,1.0,2,1,0.4013371218452282,2032.0
25,False,353.8454726654579,1.0,3,0,0.04869698863704141,2032.0
26,True,264.6027181744508,1.0,6,1,0.24747257109343584,2032.0
27,True,315.5748309844119,1.0,5,2,0.44189468848720065,2032.0
28,True,159.55680761333832,1.0,6,1,0.04313971407039134,2032.0
29,True,173.38892898905635,1.0,3,1,0.46353576927454987,2032.0
30,True,209.95173748484177,1.0,4,0,0.2281023432162038,2032.0
31,True,8.582492642992095,1.0,4,1,0.3926859388526156,2032.0
32,True,23.120653047752683,1.0,2,0,0.44189468848720065,2032.0
33,True,177.51169013723688,1.0,5,2,0.3806221791834539,2032.0
34,False,410.10174374381796,1.0,6,0,0.349878299570009,2032.0
35,True,2.0,1.0,2,1,0.2281023432162038,2032.0
36,True,555.2536774676381,1.0,6,5,0.24747257109343584,2032.0
37,True,198.4947212379539,1.0,3,0,0.16513260387918038,2032.0
38,True,227.25494584515343,1.0,4,0,0.18517902939160982,2032.0
39,True,179.9566489995026,1.0,3,0,0.33512112782029246,2032.0
40,True,9.33861784978858,1.0,2,4,0.33512112782029246,2032.0
41,False,208.58128759602673,1.0,4,1,0.16513260387918038,2032.0
42,False,200.09044422369817,1.0,4,4,0.36839836957593697,2032.0
43,True,20.16770601852751,1.0,2,2,0.2281023432162038,2032.0
44,False,663.3881558498459,1.0,6,5,0.04869698863704141,2032.0
45,False,354.77055060254116,1.0,3,5,0.13387871897366654,2032.0
46,True,217.00779019018293,1.0,3,0,0.4168400196877257,2032.0
47,True,80.64240216139873,1.0,2,1,0.48006054922358765,2032.0
48,True,87.68229213300961,1.0,2,1,0.17426920357790515,2032.0
49,False,425.3449221432864,1.0,5,2,0.4662503217416029,2032.0
50,False,667.8613349251319,1.0,5,5,0.062099585110530355,2032.0
51,True,59.66993578610689,1.0,2,2,0.16513260387918038,2032.0
52,False,11.55151591309929,1.0,1,2,0.33512112782029246,2032.0
53,False,0.0,1.0,0,1,0.042560419964888026,2032.0
54,True,168.2245005202465,1.0,3,0,0.4168400196877257,2032.0
55,True,2.0,1.0,2,3,0.27136986858700535,2032.0
56,True,2.0,1.0,2,5,0.255835733258325,2032.0
57,False,0.0,1.0,0,2,0.047309158613352255,2032.0
58,True,2.0,1.0,2,1,0.3427166293536898,2032.0
59,False,0.0,1.0,0,3,0.28662235092323046,2032.0
60,False,478.84476609091007,1.0,5,5,0.39046471577256253,2032.0
61,True,104.10235835708389,1.0,3,2,0.3926859388526156,2032.0
62,True,326.1604551902324,1.0,6,3,0.3841736514076929,2032.0
63,True,2.0,1.0,2,1,0.42292024626604147,2032.0
64,True,62.681169117267075,1.0,3,3,0.397884963045929,2032.0
